Date,Day_of_week,Holiday,Moon_Phase,Average_wind,Max_temp,Min_temp,Total_precipitation,Average_mslp,Holiday_prev,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7
08-feb-18,4,0,49,4.48455683,276.67584,272.42102,0.029907226,101468.0113,0.0,57.0,59.0,51.0,55.0,64.0,53.0,37.0,38,46.0,65.0,53.0,65.0,48.0,38.0
09-feb-18,5,0,39,4.48455683,276.67584,270.2663,0.001342773,101830.683,0.0,38.0,57.0,59.0,51.0,55.0,64.0,53.0,46,65.0,53.0,65.0,48.0,38.0,50.0
10-feb-18,6,0,29,3.587755779,277.031,268.89517,0.038452148,102051.7524,0.0,46.0,38.0,57.0,59.0,51.0,55.0,64.0,65,53.0,65.0,48.0,38.0,50.0,51.0
11-feb-18,7,0,20,3.219215579,279.19635,268.89517,0.052490234,102227.7951,0.0,65.0,46.0,38.0,57.0,59.0,51.0,55.0,53,65.0,48.0,38.0,50.0,51.0,68.0
12-feb-18,1,0,12,3.083342283,282.857,268.89517,0.409545898,102138.4541,0.0,53.0,65.0,46.0,38.0,57.0,59.0,51.0,65,48.0,38.0,50.0,51.0,68.0,58.0
13-feb-18,2,0,6,3.083342283,282.857,271.4759,0.377929687,102174.96,0.0,65.0,53.0,65.0,46.0,38.0,57.0,59.0,48,38.0,50.0,51.0,68.0,58.0,62.0
14-feb-18,3,0,2,2.873278479,282.857,269.49384,0.41015625,101985.6725,0.0,48.0,65.0,53.0,65.0,46.0,38.0,57.0,38,50.0,51.0,68.0,58.0,62.0,52.0
15-feb-18,4,0,0,2.873278479,281.58844,269.49384,0.624633791,101902.2332,0.0,38.0,48.0,65.0,53.0,65.0,46.0,38.0,50,51.0,68.0,58.0,62.0,52.0,58.0
16-feb-18,5,0,1,1.512059361,288.79486,269.49384,0.663452151,101892.9082,0.0,50.0,38.0,48.0,65.0,53.0,65.0,46.0,51,68.0,58.0,62.0,52.0,58.0,53.0
17-feb-18,6,0,3,1.496983389,288.79486,274.98547,0.627197268,102036.4891,0.0,51.0,50.0,38.0,48.0,65.0,53.0,65.0,68,58.0,62.0,52.0,58.0,53.0,47.0
18-feb-18,7,0,8,3.736790967,288.79486,276.65222,0.250488278,102325.62,0.0,68.0,51.0,50.0,38.0,48.0,65.0,53.0,58,62.0,52.0,58.0,53.0,47.0,68.0
19-feb-18,1,0,14,3.799715626,288.50912,276.37726,0.343505856,102438.3949,0.0,58.0,68.0,51.0,50.0,38.0,48.0,65.0,62,52.0,58.0,53.0,47.0,68.0,57.0
20-feb-18,2,0,23,3.799715626,283.609,276.37726,0.763183588,102346.6285,0.0,62.0,58.0,68.0,51.0,50.0,38.0,48.0,52,58.0,53.0,47.0,68.0,57.0,69.0
21-feb-18,3,0,32,5.411967271,283.609,276.37726,0.943725585,102120.5156,0.0,52.0,62.0,58.0,68.0,51.0,50.0,38.0,58,53.0,47.0,68.0,57.0,69.0,49.0
22-feb-18,4,0,42,5.886294517,283.609,274.83746,0.852355955,101782.9619,0.0,58.0,52.0,62.0,58.0,68.0,51.0,50.0,53,47.0,68.0,57.0,69.0,49.0,40.0
23-feb-18,5,0,53,5.886294517,282.95654,272.65613,0.422668458,101563.4338,0.0,53.0,58.0,52.0,62.0,58.0,68.0,51.0,47,68.0,57.0,69.0,49.0,40.0,54.0
24-feb-18,6,0,64,5.886294517,280.16473,270.0643,0.047058106,101274.1276,0.0,47.0,53.0,58.0,52.0,62.0,58.0,68.0,68,57.0,69.0,49.0,40.0,54.0,53.0
25-feb-18,7,0,73,5.019394067,281.59576,269.05093,0.0,101092.6953,0.0,68.0,47.0,53.0,58.0,52.0,62.0,58.0,57,69.0,49.0,40.0,54.0,53.0,52.0
26-feb-18,1,0,82,3.075930795,283.766,269.05093,0.003173828,101090.7866,0.0,57.0,68.0,47.0,53.0,58.0,52.0,62.0,69,49.0,40.0,54.0,53.0,52.0,75.0
27-feb-18,2,0,90,3.872319214,283.766,269.05093,0.003417969,101164.8133,0.0,69.0,57.0,68.0,47.0,53.0,58.0,52.0,49,40.0,54.0,53.0,52.0,75.0,61.0
28-feb-18,3,0,95,3.872319214,283.766,266.5483,0.003417969,101198.781,0.0,49.0,69.0,57.0,68.0,47.0,53.0,58.0,40,54.0,53.0,52.0,75.0,61.0,46.0
01-mar-18,4,0,99,4.367713782,279.99255,266.5483,0.368774408,100716.7903,0.0,40.0,49.0,69.0,57.0,68.0,47.0,53.0,54,53.0,52.0,75.0,61.0,46.0,52.0
02-mar-18,5,0,100,5.842332805,283.6484,266.5483,0.610229486,99866.97632,0.0,54.0,40.0,49.0,69.0,57.0,68.0,47.0,53,52.0,75.0,61.0,46.0,52.0,38.0
03-mar-18,6,0,99,5.842332805,283.78516,269.4481,0.642333978,99374.5259,0.0,53.0,54.0,40.0,49.0,69.0,57.0,68.0,52,75.0,61.0,46.0,52.0,38.0,56.0
04-mar-18,7,0,96,5.842332805,287.87323,274.3922,0.304077148,99304.74736,0.0,52.0,53.0,54.0,40.0,49.0,69.0,57.0,75,61.0,46.0,52.0,38.0,56.0,51.0
05-mar-18,1,0,91,4.892310221,287.87323,274.3922,0.173339843,99614.66743,0.0,75.0,52.0,53.0,54.0,40.0,49.0,69.0,61,46.0,52.0,38.0,56.0,51.0,58.0
06-mar-18,2,0,84,3.547847519,287.87323,275.2467,0.285522461,99515.26361,0.0,61.0,75.0,52.0,53.0,54.0,40.0,49.0,46,52.0,38.0,56.0,51.0,58.0,53.0
07-mar-18,3,0,75,2.97239543,285.98236,275.27936,0.291381837,99583.43903,0.0,46.0,61.0,75.0,52.0,53.0,54.0,40.0,52,38.0,56.0,51.0,58.0,53.0,64.0
08-mar-18,4,0,65,2.97239543,284.84564,272.8432,0.183715822,99981.27931,0.0,52.0,46.0,61.0,75.0,52.0,53.0,54.0,38,56.0,51.0,58.0,53.0,64.0,45.0
09-mar-18,5,0,55,3.275035163,285.67914,272.8432,0.040649414,100498.3524,0.0,38.0,52.0,46.0,61.0,75.0,52.0,53.0,56,51.0,58.0,53.0,64.0,45.0,50.0
10-mar-18,6,0,44,4.201093589,287.77252,272.8432,0.300415041,100823.7839,0.0,56.0,38.0,52.0,46.0,61.0,75.0,52.0,51,58.0,53.0,64.0,45.0,50.0,43.0
11-mar-18,7,0,34,4.873568921,287.77252,276.74982,0.386718753,100617.0174,0.0,51.0,56.0,38.0,52.0,46.0,61.0,75.0,58,53.0,64.0,45.0,50.0,43.0,50.0
12-mar-18,1,0,24,4.873568921,287.77252,280.04688,0.396484378,100283.2526,0.0,58.0,51.0,56.0,38.0,52.0,46.0,61.0,53,64.0,45.0,50.0,43.0,50.0,39.0
13-mar-18,2,0,16,4.873568921,287.6147,278.52618,0.227539063,100386.9097,0.0,53.0,58.0,51.0,56.0,38.0,52.0,46.0,64,45.0,50.0,43.0,50.0,39.0,52.0
14-mar-18,3,0,9,4.536935058,287.09692,277.93958,0.267211915,100834.3435,0.0,64.0,53.0,58.0,51.0,56.0,38.0,52.0,45,50.0,43.0,50.0,39.0,52.0,41.0
15-mar-18,4,0,4,4.731135609,285.66455,277.0761,0.861083994,101065.6188,0.0,45.0,64.0,53.0,58.0,51.0,56.0,38.0,50,43.0,50.0,39.0,52.0,41.0,47.0
